price,tag_seller,tag_condition,storage_gb,neverlock,loan,installment_loan,guarantee,color_black,color_rose,color_gold,color_silver,color_red,chargin_adapter,wire,box,case,glass,earphones,discount,time_exec_pub,time_seller_reg,y_pred
7000.0,0,0,128,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2.0,1120.0,4771.156085492757
6260.92,1,0,32,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1.0,908.0,4771.156085492757
7193.39,1,0,128,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1.0,908.0,4771.156085492757
5399.0,1,0,32,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1212.0,4771.156085492757
3680.0,1,0,32,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,2369.0,4771.156085492757
6999.0,1,0,32,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1.0,2520.0,4771.156085492757
4900.0,1,0,32,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.0,1697.0,4771.156085492757
5000.0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,2734.0,4771.156085492757
2500.0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,3281.0,4771.156085492757
4499.0,1,0,32,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,2.0,2520.0,4771.156085492757
4590.0,1,0,32,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0.0,2520.0,4771.156085492757
6490.0,1,0,32,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1.0,2520.0,4771.156085492757
6700.0,1,0,32,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1.0,2520.0,4771.156085492757
7890.0,1,0,128,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2.0,2520.0,4771.156085492757
4500.0,1,0,32,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0.0,2520.0,4771.156085492757
4129.54,1,0,32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,725.0,4771.156085492757
6260.92,1,0,32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,725.0,4771.156085492757
3703.27,1,0,32,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2.0,1059.0,4771.156085492757
4490.0,1,0,32,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0.0,2520.0,4771.156085492757
5100.0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1973.0,4771.156085492757
5599.0,1,0,32,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,1120.0,4771.156085492757
1200.0,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,847.0,4771.156085492757
5499.0,1,0,128,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0.0,1608.0,4771.156085492757
6700.0,0,0,256,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2.0,3250.0,4771.156085492757
7000.0,1,0,128,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0.0,3434.0,4771.156085492757
6999.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1.0,967.0,4771.156085492757
4000.0,0,0,32,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1.0,2063.0,4771.156085492757
4400.0,0,0,128,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2.0,3281.0,4771.156085492757
6275.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1151.0,4771.156085492757
3999.0,1,0,32,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.0,3830.0,4771.156085492757
3900.0,1,0,32,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,2.0,2186.0,4771.156085492757
7300.0,1,0,128,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2.0,2186.0,4771.156085492757
6127.71,1,0,128,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1789.0,4771.156085492757
4900.0,0,0,32,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,2.0,817.0,4771.156085492757
7500.0,0,1,32,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.0,3250.0,4771.156085492757
4800.0,0,0,32,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1.0,2643.0,4771.156085492757
4199.0,1,0,32,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1.0,967.0,4771.156085492757
3969.69,1,0,32,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,2.0,512.0,4771.156085492757
6260.92,1,0,32,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,2.0,512.0,4771.156085492757
5000.0,0,0,128,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0.0,3464.0,4771.156085492757
3950.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1973.0,4771.156085492757
7500.0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0.0,2428.0,4771.156085492757
9198.0,1,1,128,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0.0,3342.0,4771.156085492757
2200.0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2186.0,4771.156085492757
3950.0,1,0,32,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.0,2916.0,4771.156085492757
3999.0,1,0,32,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1.0,633.0,4771.156085492757
5000.0,0,0,32,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0,2400.0,4771.156085492757
5100.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1697.0,4771.156085492757
